TRACK_ID,ARTIST_ID,ALBUM_ID,PATH,DURATION,TAGS,GENRE,BATCH
track_0000808,artist_000114,album_000131,08/808.mp3,265.6,"['pop', 'rock']",pop,8
track_0000809,artist_000114,album_000131,09/809.mp3,213.0,"['pop', 'rock']",pop,9
track_0000810,artist_000114,album_000131,10/810.mp3,642.4,"['pop', 'rock']",pop,10
track_0001101,artist_000005,album_000174,01/1101.mp3,293.1,"['pop', 'rock']",pop,1
track_0001106,artist_000005,album_000174,06/1106.mp3,160.1,"['pop', 'rock']",pop,6
track_0001603,artist_000247,album_000237,03/1603.mp3,194.5,"['alternative', 'electronic', 'experimental']",alternative,3
track_0001606,artist_000247,album_000237,06/1606.mp3,249.2,"['alternative', 'electronic', 'experimental']",alternative,6
track_0002011,artist_000316,album_000308,11/2011.mp3,195.0,['electronic'],electronic,11
track_0002208,artist_000305,album_000354,08/2208.mp3,217.8,"['instrumentalpop', 'pop']",instrumentalpop,8
track_0002209,artist_000305,album_000354,09/2209.mp3,217.1,"['instrumentalpop', 'pop']",instrumentalpop,9
track_0002210,artist_000305,album_000354,10/2210.mp3,225.3,"['instrumentalpop', 'pop']",instrumentalpop,10
track_0002211,artist_000276,album_000357,11/2211.mp3,292.9,"['funk', 'jazz']",funk,11
track_0002212,artist_000276,album_000357,12/2212.mp3,323.8,"['funk', 'jazz']",funk,12
track_0002213,artist_000276,album_000357,13/2213.mp3,242.4,"['funk', 'jazz', 'world', 'worldfusion']",funk,13
track_0002214,artist_000276,album_000357,14/2214.mp3,526.4,"['alternative', 'experimental', 'funk', 'jazz']",alternative,14
track_0002215,artist_000276,album_000357,15/2215.mp3,281.1,"['funk', 'jazz']",funk,15
track_0002216,artist_000276,album_000357,16/2216.mp3,440.5,"['funk', 'jazz']",funk,16
track_0002217,artist_000276,album_000357,17/2217.mp3,285.9,"['funk', 'jazz']",funk,17
track_0002218,artist_000276,album_000357,18/2218.mp3,443.8,"['funk', 'jazz']",funk,18
track_0002615,artist_000287,album_000408,15/2615.mp3,586.3,"['alternative', 'electronic', 'experimental']",alternative,15
track_0002618,artist_000287,album_000408,18/2618.mp3,631.7,"['alternative', 'electronic', 'experimental']",alternative,18
track_0003100,artist_000486,album_000482,00/3100.mp3,198.9,['electronic'],electronic,0
track_0003101,artist_000486,album_000482,01/3101.mp3,188.7,['pop'],pop,1
track_0003102,artist_000486,album_000482,02/3102.mp3,209.0,['pop'],pop,2
track_0003103,artist_000486,album_000482,03/3103.mp3,203.0,['pop'],pop,3
track_0003108,artist_000290,album_000484,08/3108.mp3,384.6,"['alternative', 'electronic', 'experimental']",alternative,8
